Posi��o no dep�sito;Tipo de dep�sito;Corr.pos.dep.;Col.posi��o dep�sito;N�vel da posi��o;Subdiv.pos.dep.;Bloq.entr.dep�sito;Bloq.sa�da depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp;Desc_tipo_knapp
M70321020405;M700;M703;21;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020404;M700;M703;21;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020403;M700;M703;21;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020402;M700;M703;21;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020401;M700;M703;21;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020305;M700;M703;21;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020304;M700;M703;21;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020303;M700;M703;21;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020302;M700;M703;21;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020301;M700;M703;21;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020205;M700;M703;21;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020204;M700;M703;21;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020203;M700;M703;21;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020202;M700;M703;21;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020201;M700;M703;21;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020105;M700;M703;21;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020104;M700;M703;21;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020103;M700;M703;21;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020102;M700;M703;21;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70321020101;M700;M703;21;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020405;M700;M703;20;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020404;M700;M703;20;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020403;M700;M703;20;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020402;M700;M703;20;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020401;M700;M703;20;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020305;M700;M703;20;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020304;M700;M703;20;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020303;M700;M703;20;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020302;M700;M703;20;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020301;M700;M703;20;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70320020205;M700;M703;20;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
